Room Number,Seats,Computer Count,Displays,Information and Connectivity
Peter Kiewit Institute 108,12,1,"Three 80"" TVs","Shared IS&T/CoE classroom/conference room - HDMI, MiniDisplayPort"
Peter Kiewit Institute 116,N/A,N/A,N/A,Acoustic Sound Booth
Peter Kiewit Institute 119,N/A,N/A,N/A,Environmental Testing Chambers
Peter Kiewit Institute 123,N/A,N/A,N/A,Portland Cement and Bituminous Material Lab
Peter Kiewit Institute 126,N/A,N/A,N/A,Structural Testing Lab
Peter Kiewit Institute 127,N/A,N/A,N/A,Geotechnical Lab
Peter Kiewit Institute 128,N/A,N/A,N/A,Mechanical Testing Lab
Peter Kiewit Institute 130,N/A,N/A,N/A,Lighting and Electrical Lab 
Peter Kiewit Institute 145,18,9,N/A,Shared IS&T/CoE - 1st floor atrium left - extra power outlets
Peter Kiewit Institute 146,N/A,N/A,N/A,HVAC Systems Laboratory
Peter Kiewit Institute 149,10,10,N/A,Shared IS&T/CoE - 1st floor atrium middle
Peter Kiewit Institute 150,16,1,"Three 80"" TVs",Shared IS&T/CoE classroom/conference room - HDMI
Peter Kiewit Institute 151,18,9,N/A,Shared IS&T/CoE - 1st floor atrium right - extra power outlets
Peter Kiewit Institute 153,42,1,Two Projectors,"Shared IS&T/CoE classroom - HDMI, Mini DisplayPort"
Peter Kiewit Institute 155,40,1,Projector,"Shared IS&T/CoE classroom - HDMI, Lapel Microphone"
Peter Kiewit Institute 157,24,1,Projector,Shared IS&T/CoE classroom - HDMI
Peter Kiewit Institute 158,100,15,N/A,Shared IS&T/CoE - 1st floor near cafï¿½
Peter Kiewit Institute 160,42,1,"Projector, Four 70"" TVs","Shared IS&T/CoE classroom - HDMI, Mini DisplayPort, VGA, Lapel Microphone"
Peter Kiewit Institute 161,30,1,"Projector, Three TVs","Shared IS&T/CoE classroom - HDMI, Lapel Microphone"
Peter Kiewit Institute 164,56,1,"Projector, Four 70"" TVs","Shared IS&T/CoE classroom - HDMI, Mini DisplayPort, VGA, Lapel Microphone"
Peter Kiewit Institute 248,N/A,N/A,N/A,Drafting/Engineering Graphics Classroom
Peter Kiewit Institute 249,5,5,N/A,Shared IS&T/CoE - 2nd floor atrium middle
Peter Kiewit Institute 250,16,1,"Three 70"" TVs",Shared IS&T/CoE classroom/conference room - HDMI
Peter Kiewit Institute 252,58,1,Two Projectors,"Shared IS&T/CoE classroom - HDMI, Lapel Microphone"
Peter Kiewit Institute 256,40,1,Projector,"Shared IS&T/CoE classroom - HDMI, USB-C"
Peter Kiewit Institute 259,16,1,Projector,"Shared IS&T/CoE classroom - HDMI, Mini DisplayPort"
Peter Kiewit Institute 260,60,60,Projector,"Shared IS&T/CoE classroom - HDMI, USB-C"
Peter Kiewit Institute 261,24,1,Projector,"Shared IS&T/CoE classroom - HDMI, USB-C"
Peter Kiewit Institute 263,50,1,Two Projectors,"Shared IS&T/CoE classroom - HDMI, Lapel Microphone"
Peter Kiewit Institute 269,30,1,Projector,"IS&T classroom - HDMI, USB-C"
Peter Kiewit Institute 270,16,1,Projector,Shared IS&T/CoE classroom - HDMI
Peter Kiewit Institute 274,32,1,Projector,"Shared IS&T/CoE classroom - HDMI, USB-C"
Peter Kiewit Institute 276,40,35,Projector,"IS&T classroom - HDMI, USB-C"
Peter Kiewit Institute 278,40,35,Projector,"IS&T classroom - HDMI, USB-C"
Peter Kiewit Institute 279,30,1,Three Projectors,"IS&T Collaboration & Hosting Center - HDMI, Micro HDMI, Mini HDMI, USB Type-C, DisplayPort, Mini DisplayPort, Thunderbolt, Lightning (Apple)"
Peter Kiewit Institute 350,16,1,"Two 80"" TVs, Projector","Shared IS&T/CoE classroom/conference room - HDMI, VGA"
Peter Kiewit Institute 352,6,6,N/A,Shared IS&T/CoE - 3rd floor atrium middle
Peter Kiewit Institute 361,40,40,"Two Projectors, 86"" TV","IS&T classroom - HDMI, USB-C"
Peter Kiewit Institute 368,7,7,N/A,Shared IS&T/CoE - 3rd floor atrium middle
Peter Kiewit Institute 391A,10,1,"55"" TV",IS&T classroom/conference room - HDMI
